Batch ID,Batch Name,Material Master ID,Material Inventory ID,Status,Material Price History,Total Quantity,Available Quantity,Reserved Quantity,Blocked Stock Quantity,Location,Division,Created Time,Material Code
1-TM-BATCH-1,BATCH1-A0001802609,1-5A-411,1-TM-INVENTORY-1,Active,,1,1,0,0,1-J31BMH,1-J30J21,26/08/2024 14:49,A0001802609
1-TM-BATCH-2,BATCH1-A0002021819,1-26OJ-1,1-TM-INVENTORY-2,Active,,1,1,0,0,1-J31BMH,1-J30J21,21/12/2022 14:49,A0002021819
1-TM-BATCH-3,BATCH1-A0003270369,1-56-424,1-TM-INVENTORY-3,Active,,2,2,0,0,1-J31BMH,1-J30J21,16/01/2024 15:29,A0003270369
1-TM-BATCH-4,BATCH1-A0003531373,1-ZMP-3,1-TM-INVENTORY-4,Active,,2,2,0,0,1-J31BMH,1-J30J21,19/02/2020 11:00,A0003531373
1-TM-BATCH-5,BATCH1-A00040027007519,1-35AF-7596,1-TM-INVENTORY-5,Active,,1,1,0,0,1-J31BMH,1-J30J21,08/11/2022 14:46,A00040027007519
1-TM-BATCH-6,BATCH1-A00040027009040,1-4O2J-28,1-TM-INVENTORY-6,Active,,4,4,0,0,1-J31BMH,1-J30J21,23/06/2023 11:55,A00040027009040
1-TM-BATCH-7,BATCH1-A0004003100,1-2G8P-1,1-TM-INVENTORY-7,Active,,1,1,0,0,1-J31BMH,1-J30J21,19/06/2023 16:21,A0004003100
1-TM-BATCH-8,BATCH1-A000401590464,1-3TT3-5,1-TM-INVENTORY-8,Active,,5,5,0,0,1-J31BMH,1-J30J21,08/02/2022 14:24,A000401590464
1-TM-BATCH-9,BATCH1-A0004017909,1-35AJ-62,1-TM-INVENTORY-9,Active,,1,1,0,0,1-J31BMH,1-J30J21,19/10/2024 14:37,A0004017909
1-TM-BATCH-10,BATCH1-A0004200004,1-6W4Q-2,1-TM-INVENTORY-10,Active,,1,1,0,0,1-J31BMH,1-J30J21,01/06/2024 15:06,A0004200004
1-TM-BATCH-11,BATCH1-A0004200204,1-8SAQ-1657,1-TM-INVENTORY-11,Active,,1,1,0,0,1-J31BMH,1-J30J21,19/10/2024 14:31,A0004200204
1-TM-BATCH-12,BATCH1-A0004200205,1-6IEZ-1,1-TM-INVENTORY-12,Active,,1,1,0,0,1-J31BMH,1-J30J21,16/01/2024 17:30,A0004200205
1-TM-BATCH-13,BATCH1-A0004200404,1-7Q6Z-1,1-TM-INVENTORY-13,Active,,1,1,0,0,1-J31BMH,1-J30J21,06/08/2024 12:36,A0004200404
1-TM-BATCH-14,BATCH1-A0004200604,1-5MMD-1,1-TM-INVENTORY-14,Active,,1,1,0,0,1-J31BMH,1-J30J21,19/10/2024 14:31,A0004200604
1-TM-BATCH-15,BATCH1-A0004200605,1-6H9K-2,1-TM-INVENTORY-15,Active,,1,1,0,0,1-J31BMH,1-J30J21,09/08/2023 18:00,A0004200605
1-TM-BATCH-16,BATCH1-A0004201304,1-6W4Q-3,1-TM-INVENTORY-16,Active,,2,2,0,0,1-J31BMH,1-J30J21,06/08/2024 12:36,A0004201304
1-TM-BATCH-17,BATCH1-A0004201706,1-7BHV-1,1-TM-INVENTORY-17,Active,,1,1,0,0,1-J31BMH,1-J30J21,20/07/2024 16:26,A0004201706
1-TM-BATCH-18,BATCH1-A0004204904,1-63IO-1,1-TM-INVENTORY-18,Active,,2,2,0,0,1-J31BMH,1-J30J21,18/04/2024 11:00,A0004204904
