"Material Inventory Id","Material Inventory Name","Material Master ID","Total Quantity","Available Quantity","Reserved Quantity","Blocked Stock Quantity","Location","Division","Created Time","Material Code","Landed Cost","Bin Location","Bin Master ID"
"1-TM-INVENTORY-1","TM-INIT-A0001802609","1-5A-411","1","1","0","0","1-J31BMH","1-J30J21","26/08/2024 14:49","A0001802609","1631.20","1004-0345","1-TM-BIN_MASTER-77"
"1-TM-INVENTORY-2","TM-INIT-A0002021819","1-26OJ-1","1","1","0","0","1-J31BMH","1-J30J21","21/12/2022 14:49","A0002021819","4701.96","FLOOR LWR 1","1-TM-BIN_MASTER-457"
"1-TM-INVENTORY-3","TM-INIT-A0003270369","1-56-424","2","2","0","0","1-J31BMH","1-J30J21","16/01/2024 15:29","A0003270369","395.28","1005-0375","1-TM-BIN_MASTER-141"
"1-TM-INVENTORY-4","TM-INIT-A0003531373","1-ZMP-3","2","2","0","0","1-J31BMH","1-J30J21","19/02/2020 11:00","A0003531373","815.20","1004-0191","1-TM-BIN_MASTER-59"
"1-TM-INVENTORY-5","TM-INIT-A00040027007519","1-35AF-7596","1","1","0","0","1-J31BMH","1-J30J21","08/11/2022 14:46","A00040027007519","1231.53","9999-9999","1-TM-BIN_MASTER-447"
"1-TM-INVENTORY-6","TM-INIT-A00040027009040","1-4O2J-28","4","4","0","0","1-J31BMH","1-J30J21","23/06/2023 11:55","A00040027009040","1231.53","Showroom","1-TM-BIN_MASTER-469"
"1-TM-INVENTORY-7","TM-INIT-A0004003100","1-2G8P-1","1","1","0","0","1-J31BMH","1-J30J21","19/06/2023 16:21","A0004003100","14541.24","Showroom","1-TM-BIN_MASTER-469"
"1-TM-INVENTORY-8","TM-INIT-A000401590464","1-3TT3-5","5","5","0","0","1-J31BMH","1-J30J21","08/02/2022 14:24","A000401590464","209.25","1005-0353","1-TM-BIN_MASTER-133"
"1-TM-INVENTORY-9","TM-INIT-A0004017909","1-35AJ-62","1","1","0","0","1-J31BMH","1-J30J21","19/10/2024 14:37","A0004017909","209.25","FLOOR LWR 1","1-TM-BIN_MASTER-457"
"1-TM-INVENTORY-10","TM-INIT-A0004200004","1-6W4Q-2","1","1","0","0","1-J31BMH","1-J30J21","01/06/2024 15:06","A0004200004","11249.57","1004-0400","1-TM-BIN_MASTER-88"
"1-TM-INVENTORY-11","TM-INIT-A0004200204","1-8SAQ-1657","1","1","0","0","1-J31BMH","1-J30J21","19/10/2024 14:31","A0004200204","11249.57","2004-0331","1-TM-BIN_MASTER-365"
"1-TM-INVENTORY-12","TM-INIT-A0004200205","1-6IEZ-1","1","1","0","0","1-J31BMH","1-J30J21","16/01/2024 17:30","A0004200205","7751.03","1005-0401","1-TM-BIN_MASTER-152"
"1-TM-INVENTORY-13","TM-INIT-A0004200404","1-7Q6Z-1","1","1","0","0","1-J31BMH","1-J30J21","06/08/2024 12:36","A0004200404","10780.84","1005-0400","1-TM-BIN_MASTER-151"
"1-TM-INVENTORY-14","TM-INIT-A0004200604","1-5MMD-1","1","1","0","0","1-J31BMH","1-J30J21","19/10/2024 14:31","A0004200604","16813.18","2004-0331","1-TM-BIN_MASTER-365"
"1-TM-INVENTORY-15","TM-INIT-A0004200605","1-6H9K-2","1","1","0","0","1-J31BMH","1-J30J21","09/08/2023 18:00","A0004200605","7616.16","1005-0415","1-TM-BIN_MASTER-155"
"1-TM-INVENTORY-16","TM-INIT-A0004201304","1-6W4Q-3","2","2","0","0","1-J31BMH","1-J30J21","06/08/2024 12:36","A0004201304","9374.64","1005-0400","1-TM-BIN_MASTER-151"
"1-TM-INVENTORY-17","TM-INIT-A0004201706","1-7BHV-1","1","1","0","0","1-J31BMH","1-J30J21","20/07/2024 16:26","A0004201706","7968.44","1005-0405","1-TM-BIN_MASTER-153"
"1-TM-INVENTORY-18","TM-INIT-A0004204904","1-63IO-1","2","2","0","0","1-J31BMH","1-J30J21","18/04/2024 11:00","A0004204904","17934.16","1005-0481","1-TM-BIN_MASTER-166"
"1-TM-INVENTORY-19","TM-INIT-A0004205103","1-5PXB-1","1","1","0","0","1-J31BMH","1-J30J21","06/04/2023 16:20","A0004205103","7622.05","9999-9999","1-TM-BIN_MASTER-447"
"1-TM-INVENTORY-20","TM-INIT-A0004205303","1-67OS-1","1","1","0","0","1-J31BMH","1-J30J21","11/09/2023 11:03","A0004205303","7968.44","1005-0365","1-TM-BIN_MASTER-138"
"1-TM-INVENTORY-21","TM-INIT-A0004205403","1-67OS-2","1","1","0","0","1-J31BMH","1-J30J21","12/11/2024 10:50","A0004205403","9374.64","1005-0405","1-TM-BIN_MASTER-153"
"1-TM-INVENTORY-22","TM-INIT-A000420650265","1-50S9-20","2","2","0","0","1-J31BMH","1-J30J21","17/07/2024 12:23","A000420650265","10760.94","1005-0435","1-TM-BIN_MASTER-159"
"1-TM-INVENTORY-23","TM-INIT-A0004206603","1-5YVX-1","2","2","0","0","1-J31BMH","1-J30J21","12/11/2024 17:20","A0004206603","15163.04","1005-0485","1-TM-BIN_MASTER-167"
"1-TM-INVENTORY-24","TM-INIT-A0004206803","1-6CIC-3","1","1","0","0","1-J31BMH","1-J30J21","19/10/2024 14:31","A0004206803","16030.49","FLOOR LWR","1-TM-BIN_MASTER-456"
