BIN Master Name,BIN Master Id,Area,Floor,BIN Type,Max Quantity,Stock,Type,Dynamic_Flag,Hazardous_Flag,Division,Material Name,Remarks
1001-0100,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0111,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0115,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0131,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0135,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0151,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0155,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0171,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0175,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0191,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0195,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0200,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0211,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0215,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0235,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0251,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0255,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0271,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0275,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0291,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-0295,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1001-1271,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1002-0141,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1002-0145,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1002-0175,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1002-0191,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1002-0195,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1002-0200,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1002-0201,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1002-0221,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1002-0231,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1002-2195,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0100,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0111,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0115,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0191,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0200,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0201,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0205,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0211,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0213,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0217,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0221,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0223,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0225,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0231,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0233,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0235,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0237,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0241,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0243,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0245,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1003-0247,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0100,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0111,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0131,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0151,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0171,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0191,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
10040191(BOX),,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0200,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0211,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0231,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0251,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0271,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0291,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0300,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0301,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0305,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0311,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1004-0315,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
